商品标题,商品价格,商品信息
小米Redmi显示器1A 23.8英寸,779.00,|['商品编号：100013455568', '商品毛重：3.75kg', '商品产地：中国大陆', '屏幕尺寸：23.5-24英寸', '分辨率：1920*1080dpi', '对比度：1000:1', '屏幕刷新率：60Hz', '售后服务：3年质保', '面板：IPS技术', '接口：HDMI，VGA', '特性：TUV爱眼认证', '屏幕比例：16:9']|
AOC24B2XH,849.00,|['商品编号：100005855828', '商品毛重：3.9kg', '商品产地：中国大陆', '屏幕尺寸：23.5-24英寸', '分辨率：1920*1080dpi', '对比度：1000:1', '屏幕刷新率：75Hz', '售后服务：3年质保', '面板：IPS技术', '接口：HDMI，VGA，音频/耳机输出', '特性：可壁挂', '屏幕比例：16:9']|
三星S49AG952NC,17999.00,|['商品编号：100012490437', '商品毛重：19.0kg', '商品产地：中国大陆', '屏幕尺寸：48.8-49英寸', '分辨率：5120*1440dpi', '对比度：1000000:1', '响应时间：1ms', '屏幕刷新率：240Hz及以上', '面板：VA', '售后服务：1年质保', '屏幕比例：32:9', '接口：DP，HDMI', '特性：旋转升降底座，G-Sync，FreeSync', '曲率：1000R']|
AOC27B2H,949.00,|['商品编号：100005855774', '商品毛重：4.99kg', '商品产地：中国大陆', '屏幕尺寸：27英寸', '分辨率：1920*1080dpi', '对比度：1000:1', '屏幕刷新率：75Hz', '售后服务：3年质保', '面板：IPS技术', '接口：HDMI，VGA，音频/耳机输出', '特性：可壁挂', '屏幕比例：16:9']|
小米小米显示器,849.00,|['商品编号：100010424021', '商品毛重：5.7kg', '商品产地：中国大陆', '屏幕尺寸：27英寸', '分辨率：1920*1080dpi', '对比度：1000:1', '屏幕刷新率：60Hz', '售后服务：3年质保', '面板：IPS技术', '接口：HDMI，VGA，音频/耳机输出', '特性：TUV爱眼认证', '屏幕比例：16:9']|
KKTVK32QB,1199.00,|['商品编号：100027823198', '商品毛重：6.3kg', '商品产地：中国大陆', '屏幕尺寸：31.5-32英寸', '屏幕刷新率：75Hz', '分辨率：1920*1080dpi', '售后服务：1年质保', '面板：其他', '对比度：3000:1', '接口：HDMI，VGA']|
AOCCU34G2X,2599.00,|['商品编号：100009414084', '商品毛重：11.95kg', '商品产地：中国大陆', '屏幕尺寸：34-35英寸', 'HDR：HDR10', '分辨率：3440*1440dpi', '对比度：3000:1', '响应时间：1ms', '屏幕刷新率：144Hz', '面板：VA', '售后服务：3年质保', '屏幕比例：21:9', '接口：DP，HDMI，USB扩展/充电，音频/耳机输出', '特性：FreeSync', '曲率：1500R']|
AOCQ27G2S/D,2199.00,|['商品编号：100021043464', '商品毛重：7.85kg', '商品产地：中国大陆', '屏幕尺寸：27英寸', 'HDR：HDR400', '分辨率：2560*1440dpi', '对比度：700:1', '响应时间：1ms', '屏幕刷新率：170Hz', '售后服务：3年质保', '面板：IPS (Fast)', '接口：DP，HDMI，音频/耳机输出', '特性：旋转升降底座，FreeSync', '屏幕比例：16:9']|
AOC27G2,1449.00,|['商品编号：100006442384', '商品毛重：7.36kg', '商品产地：中国大陆', '屏幕尺寸：27英寸', '分辨率：1920*1080dpi', '对比度：1000:1', '响应时间：1ms', '屏幕刷新率：144Hz', '售后服务：3年质保', '面板：IPS技术', '接口：DP，HDMI，VGA，音频/耳机输出', '特性：旋转升降底座', '屏幕比例：16:9']|
三星C27R502FHC,1099.00,|['商品编号：100003374425', '商品毛重：6.35kg', '商品产地：中国大陆', '屏幕尺寸：27英寸', '分辨率：1920*1080dpi', '对比度：3000:1', '屏幕刷新率：60Hz', '面板：VA', '售后服务：1年质保', '接口：HDMI，VGA，音频/耳机输出', '屏幕比例：16:9', '特性：FreeSync', '曲率：1800R']|
